target_flux_per_ky_0,target_flux_per_ky_1,target_flux_per_ky_2,target_flux_per_ky_3,target_flux_per_ky_4,target_flux_per_ky_5,target_flux_per_ky_6,target_flux_per_ky_7,target_flux_per_ky_8,target_flux_per_ky_9,target_flux_per_ky_10,target_flux_per_ky_11,target_flux_per_ky_12,target_flux_per_ky_13,target_flux_per_ky_14,target_flux_per_ky_15,target_flux_per_ky_16,target_flux_per_ky_17,target_flux_per_ky_18,target_flux_per_ky_19,target_flux_per_ky_20,target_flux_per_ky_21,target_flux_per_ky_22,target_flux_per_ky_23,target_flux_per_ky_24,target_flux_per_ky_25,target_flux_per_ky_26,target_flux_per_ky_27,target_flux_per_ky_28,target_flux_per_ky_29,target_flux_per_ky_30,target_flux_per_ky_31,target_flux_per_ky_32,target_flux_per_ky_33,target_flux_per_ky_34,target_flux_per_ky_35,target_flux_per_ky_36,target_flux_per_ky_37,target_flux_per_ky_38,target_flux_per_ky_39,target_flux_per_ky_40,target_flux_per_ky_41,target_flux_per_ky_42,target_flux_per_ky_43,target_flux_per_ky_44,target_flux_per_ky_45,target_flux_per_ky_46,target_flux_per_ky_47,target_flux_per_ky_48,target_flux_per_ky_49,target_flux_per_ky_50,target_flux_per_ky_51,target_flux_per_ky_52,target_flux_per_ky_53,target_flux_per_ky_54,target_flux_per_ky_55,target_flux_per_ky_56,target_flux_per_ky_57,target_flux_per_ky_58,target_flux_per_ky_59,target_flux_per_ky_60,target_flux_per_ky_61,target_flux_per_ky_62,target_flux_per_ky_63,target_flux_per_ky_64,target_flux_per_ky_65,target_flux_per_ky_66,target_flux_per_ky_67,target_flux_per_ky_68,target_flux_per_ky_69,target_flux_per_ky_70,target_flux_per_ky_71,target_flux_per_ky_72,target_flux_per_ky_73,target_flux_per_ky_74,target_flux_per_ky_75,target_flux_per_ky_76,target_flux_per_ky_77,target_flux_per_ky_78,target_flux_per_ky_79,target_flux_per_ky_80,target_flux_per_ky_81,target_flux_per_ky_82,target_flux_per_ky_83,target_flux_per_ky_84,target_flux_per_ky_85,target_flux_per_ky_86,target_flux_per_ky_87,target_flux_per_ky_88,target_flux_per_ky_89,target_flux_per_ky_90,target_flux_per_ky_91,target_flux_per_ky_92,target_flux_per_ky_93,target_flux_per_ky_94,target_flux_per_ky_95
919.6455,12218.357,581.3267,-30.880594,1445.701,19209.148,897.1523,-48.258625,1635.965,21747.475,989.0773,-54.04019,1727.0204,22981.58,1018.7956,-56.32287,1776.9316,23681.045,1025.1246,-57.163532,1806.6244,24117.41,1020.95166,-57.32218,1842.8313,24620.016,1000.2845,-56.881588,1843.8235,24932.922,961.27496,-56.081886,1827.0554,25159.465,921.3424,-55.570816,1817.8406,25299.59,896.8678,-55.4591,1812.3235,25391.633,881.02625,-55.42931,1808.8225,25454.996,870.36615,-55.420963,1806.5072,25500.31,862.9517,-55.419548,1802.4934,25589.336,849.062,-55.423378,1800.8232,25638.008,842.3019,-55.429554,1800.1616,25664.514,839.1949,-55.4341,1799.9131,25678.96,837.86273,-55.436928,1799.8251,25686.79,837.3423,-55.438602,1799.7927,25690.973,837.17035,-55.43943,1799.7811,25693.191,837.1274,-55.43975,1799.7765,25694.357,837.11993,-55.439857,1799.7745,25694.959,837.11914,-55.43992,1799.7738,25695.264,837.11926,-55.439934,1799.7736,25695.416,837.1194,-55.43995
-3320.5852,-4255.0513,655.63654,54.58954,-5172.2007,-6599.4663,982.61835,84.27721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.15160152,0.14260733,3.1511943,-0.014176307,-0.31133354,0.2847353,5.3089414,-0.028746253,-0.41394833,0.3864374,6.351131,-0.0370671,-0.7354278,0.043553546,6.71855,-0.035242777,-0.9968582,-0.26135647,6.8861136,-0.032616384,-1.0130558,-0.24189183,7.0683045,-0.03294798,-1.0319009,-0.21446314,7.316267,-0.03332194,-1.0415541,-0.19661736,7.4742103,-0.033476405,-1.0475998,-0.18434286,7.579551,-0.03362204,-1.0529306,-0.17637232,7.6475983,-0.033688217,-1.0568142,-0.15830451,7.6722627,-0.0336169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0776896,0.24735488,7.628195,-0.033054147,-1.0811232,0.4628901,7.6013823,-0.033048242,-1.0837067,1.0027431,7.530171,-0.033324935,-1.0865327,1.8924351,7.435147,-0.033749208,-1.0897613,2.6960437,7.3838863,-0.033909965,-1.0912709,3.211029,7.362805,-0.033968594,-1.0918268,3.465266,7.354603,-0.03396006,-1.0919299,3.5407722,7.3527994,-0.033952653,-1.0919433,3.5588052,7.3524866,-0.03395195
15.86585,43.188484,15.870526,-21.54629,24.868567,67.57091,23.92121,-31.578354,28.14203,76.31972,25.887835,-33.249905,29.771595,80.67261,26.652496,-33.80948,30.656847,83.06179,27.03272,-34.056694,31.166012,84.4503,27.24433,-34.179028,31.677145,85.86391,27.439232,-34.283188,31.864006,86.3737,27.543488,-34.345436,31.926807,86.535194,27.629429,-34.39696,31.951378,86.60948,27.67922,-34.421806,31.960886,86.64566,27.708244,-34.435432,31.964527,86.664345,27.725477,-34.443623,31.96598,86.6747,27.73598,-34.448883,31.969053,86.68951,27.75144,-34.457825,31.973408,86.69272,27.756084,-34.4621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2033.9585,10730.506,1412.9752,-88.931366,-3263.9695,17020.934,2256.9636,-142.09683,-3802.9392,19464.781,2615.429,-165.12245,-4089.0166,20572.92,2803.385,-181.67796,-4222.2085,21029.596,2891.0046,-194.46666,-4280.329,21228.848,2929.8704,-202.42699,-4355.0093,21648.809,2921.2866,-192.73975,-4403.1694,22048.223,2865.3103,-175.74274,-4421.2944,22257.021,2821.222,-170.97685,-4429.394,22379.387,2792.1938,-169.54544,-4433.585,22456.98,2773.114,-169.04097,-4436.0166,22509.117,2760.153,-168.82838,-4437.553,22545.74,2751.0308,-168.72812,-4440.201,22616.41,2733.44,-168.60783,-4441.2686,22653.574,2724.2651,-168.58614,-4441.6797,22673.469,2719.4695,-168.58218,-4441.8574,22684.229,2717.0198,-168.58212,-4441.9243,22689.965,2715.7747,-168.58281,-4441.948,22693.002,2715.157,-168.5833,-4441.955,22694.648,2714.8765,-168.58334,-4441.9575,22695.557,2714.77,-168.58322,-4441.959,22696.043,2714.7375,-168.58316,-4441.9595,22696.28,2714.7275,-168.58313,-4441.9595,22696.393,2714.7249,-168.58313
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033406038,0.022301676,-0.00035352193,-0.00012399649,-0.014860951,0.059678122,-0.00086569245,-0.0002585326,-0.040621854,0.12060043,-0.0015424007,-0.00047889326,-0.06821009,0.16673608,-0.0018523333,-0.00063588907,-0.10980743,0.20694426,-0.0016885151,-0.00074463955,-0.13807641,0.2147118,-0.0011819589,-0.00078176457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32379735,0.2550537,0.0029744192,-0.00104575,-0.3237696,0.27536067,0.0028972102,-0.0010460966,-0.32375947,0.30189115,0.0028337713,-0.0010463033,-0.32377222,0.32758978,0.002795439,-0.0010465673,-0.32379806,0.34440908,0.0027797562,-0.0010466267,-0.32380968,0.35215655,0.0027750847,-0.0010466275
0.15450655,0.5317985,7.8157215,0.0040968517,0.73249257,1.9804229,10.719708,-0.010552219,2.553694,6.0810556,10.407114,-0.04559943,5.950336,13.425428,9.913595,-0.09106739,10.11735,22.199844,9.370056,-0.13593404,13.656195,29.500868,8.949889,-0.16842028,17.986137,38.206528,8.497443,-0.20148069,20.399225,42.876755,8.287484,-0.21593255,21.883953,45.64063,8.177848,-0.22316296,22.862661,47.391914,8.115741,-0.2271058,23.540724,48.558815,8.078409,-0.22939336,24.028551,49.3678,8.054927,-0.23078734,24.390118,49.94759,8.039621,-0.23167285,25.16137,51.136333,8.013378,-0.23317948,25.58799,51.76426,8.005371,-0.23367722,25.810041,52.09543,8.004396,-0.23380075,25.92164,52.269527,8.005633,-0.23380151,25.97707,52.359703,8.007308,-0.23378071,0.0,0.0,0.0,0.0,26.018906,52.430737,8.009129,-0.23376241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.02374,52.441753,8.009161,-0.23376931,26.023895,52.443077,8.009165,-0.23376957
-429.014,7229.975,870.6394,-25.511877,-701.2346,11712.684,1387.2137,-43.980328,-823.3845,13615.871,1574.6294,-55.171844,-884.075,14532.398,1642.1447,-62.548027,-915.2617,15015.926,1662.3683,-67.534744,-930.8534,15290.386,1663.4453,-70.97997,-940.15515,15571.451,1650.6473,-75.284966,-937.19385,15703.357,2805.887,-78.30737,-932.68945,15766.618,3824.2878,-80.25422,-957.7768,15793.135,3822.9314,-80.75255,-998.35706,15811.918,3817.9631,-80.73175,-1023.186,15827.525,3813.8096,-80.71387,-1038.435,15841.071,3810.4202,-80.70301,-1060.0668,15871.865,3805.1055,-80.697754,-1065.2476,15890.209,3878.6064,-80.65902,-1065.2683,15893.832,4001.766,-80.62698,-1065.7891,15893.538,4071.9482,-80.62826,-1066.1346,15895.357,4106.7886,-80.59816,-1066.235,15897.661,4115.039,-80.58451,-1066.2783,15900.359,4114.754,-80.58403,-1066.2927,15901.879,4114.624,-80.5838,-1066.299,15902.686,4114.5728,-80.58365,-1066.301,15903.076,4114.554,-80.58359,-1066.3018,15903.252,4114.548,-80.58354
0.18276083,0.42487198,106.65343,-0.6901781,0.30933118,0.7667135,173.85603,-1.0072244,0.46536595,1.2530751,239.16142,-1.0358756,0.41058576,1.9341235,276.6306,-1.0345649,0.13930279,2.5464005,276.67993,-1.0460557,0.054985464,3.058354,287.9989,-1.024694,0.16855407,3.9698787,319.97217,-0.9587842,0.21822745,4.731765,339.05795,-0.9352672,0.112809464,5.025514,346.36826,-0.93153286,-0.09304634,4.9526606,346.3908,-0.937727,-0.26754805,4.875144,346.40698,-0.94246817,-0.421547,4.8011427,346.41913,-0.94626826,-0.5609714,4.733451,346.4286,-0.9493895,-0.76328063,5.1899652,346.41727,-0.9536296,-0.75566024,6.4612823,346.36313,-0.95386297,-0.749729,8.101716,346.3015,-0.95611644,-0.74104935,10.667788,346.1718,-0.958657,-0.7294897,14.179919,346.03104,-0.959175,-0.71689177,19.182283,345.93417,-0.9594098,-0.70341605,26.151548,345.83157,-0.95957583,-0.69438064,34.32508,345.75418,-0.95968056,-0.6878213,42.290607,345.70334,-0.9601307,-0.6833173,48.076393,345.68497,-0.9603379,-0.6802716,51.317524,345.68018,-0.9604236
4550.025,30658.283,1237.9884,23.786572,7462.587,50085.68,1981.5682,38.491596,8824.221,58919.4,2268.4636,44.847496,9567.568,63596.64,2390.9285,47.8754,10015.855,66337.64,2447.1965,49.03636,10303.266,68052.04,2474.809,48.97952,10629.56,69950.85,2500.3843,46.518284,10786.628,70834.2,2512.9497,42.739098,10867.379,71270.14,2522.033,39.582973,10912.1455,71497.76,2528.6626,38.306602,10939.675,71627.82,2533.2788,38.209286,10958.645,71711.91,2536.68,38.091557,10972.899,71772.71,2539.3582,37.816807,11004.364,71902.64,2545.2507,37.22122,11023.17,71974.55,2549.1074,36.98639,11028.708,72033.484,2549.795,36.82765,11026.399,72089.14,2548.3804,36.815178,11025.025,72116.2,2548.2017,36.791023,11024.42,72129.27,2548.2393,36.77949,11024.204,72135.44,2548.2783,36.776203,11024.13,72138.41,2548.292,36.77571,11024.102,72139.89,2548.2942,36.77571,11024.093,72140.66,2548.2942,36.77571,11024.089,72141.08,2548.2942,36.77565
